 8425, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-(java/lang/String;int)V, 04: Delete connections, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8426, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-(java/lang/String;int)V, 05: Select and deselect figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8427, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-(java/lang/String;int)V, 06: Move- scale- or rotate figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8428, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-(java/lang/String;int)V, 07: Change properties of figures, leaf, T, T, T, LeafPureSurroundedT, CT, 1, 0, 0, 0, 0, 0
 8429, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-(java/lang/String;int)V, 08: Edit  text in figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8430, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-(java/lang/String;int)V, 09: Align figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8431, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-(java/lang/String;int)V, 10: Change z-ordering, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8432, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-(java/lang/String;int)V, 11: Grouping and ungrouping figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8433, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-(java/lang/String;int)V, 12: Launch the application, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 8434, org.jhotdraw.draw.AttributeKeys$StrokePlacement.-init-(java/lang/String;int)V, 13: Open an existing drawing, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
