 1944, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel$Text.-init-(int;net/sourceforge/ganttproject/GanttGraphicArea$ChartOptionsPreviewPanel$TaskBar;)V, XXX: General Purpose Code, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 1, 0, 0, 0, 0
 1946, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel.-init-()V, 02: Delete Tasks, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 4, 0
 1948, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel.-init-()V, 04: Add/Remove Tasks as Subtasks, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 4, 0
 1950, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel.-init-()V, 06: Create Resources (person), inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 4, 0
 1952, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel.-init-()V, 08: Maintain Resource Properties, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 4, 0
 1954, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel.-init-()V, 10: Add/Remove Resources to Tasks Dependencies, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 4, 0
 1956, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel.-init-()V, 12: Change Task Begin/End Times automatically with dependency changes, inner, T, T, T, InnerPureSurroundedT, CT, 1, 0, 0, 4, 0, 0
 1958, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel.-init-()V, 14: Prevent Circular Dependencies, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 4, 0
 1960, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel.-init-()V, 16: Add/Remove Holidays and Vacation Days, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 4, 0
 1962, net.sourceforge.ganttproject.GanttGraphicArea$ChartOptionsPreviewPanel.-init-()V, XXX: General Purpose Code, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 4, 0
 1982, net.sourceforge.ganttproject.GanttGraphicArea$MouseSupport.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, 02: Delete Tasks, leaf, N, N, N, LeafMixedSurroundedN, CN, 1, 2, 0, 0, 0, 0
 1984, net.sourceforge.ganttproject.GanttGraphicArea$MouseSupport.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, 04: Add/Remove Tasks as Subtasks, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 3, 0, 0, 0, 0
 1986, net.sourceforge.ganttproject.GanttGraphicArea$MouseSupport.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, 06: Create Resources (person), leaf, N, N, N, LeafMixedSurroundedN, CN, 1, 2, 0, 0, 0, 0
 1988, net.sourceforge.ganttproject.GanttGraphicArea$MouseSupport.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, 08: Maintain Resource Properties, leaf, N, N, N, LeafMixedSurroundedN, CN, 1, 2, 0, 0, 0, 0
 1990, net.sourceforge.ganttproject.GanttGraphicArea$MouseSupport.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, 10: Add/Remove Resources to Tasks Dependencies, leaf, N, N, N, LeafMixedSurroundedN, CN, 1, 2, 0, 0, 0, 0
 1992, net.sourceforge.ganttproject.GanttGraphicArea$MouseSupport.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, 12: Change Task Begin/End Times automatically with dependency changes, leaf, T, T, T, LeafMixedSurroundedT, CT, 2, 1, 0, 0, 0, 0
 1994, net.sourceforge.ganttproject.GanttGraphicArea$MouseSupport.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, 14: Prevent Circular Dependencies, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 3, 0, 0, 0, 0
 1996, net.sourceforge.ganttproject.GanttGraphicArea$MouseSupport.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, 16: Add/Remove Holidays and Vacation Days, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 3, 0, 0, 0, 0
 1998, net.sourceforge.ganttproject.GanttGraphicArea$MouseSupport.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, XXX: General Purpose Code, leaf, N, N, N, LeafMixedSurroundedN, CN, 0, 3, 0, 0, 0, 0
 2036, net.sourceforge.ganttproject.GanttGraphicArea$NewChartComponentImpl.-init-(net/sourceforge/ganttproject/GanttGraphicArea;)V, 02: Delete Tasks, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 3, 0
